"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"96954";"ALIANÇA DO TOCANTINS";270002158751;1;12;"Casa";"CASA RESIDENCIAL EM ALIANÇA";"150000,00";"06/10/2024";"18:32:48"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"96954";"ALIANÇA DO TOCANTINS";270002158751;2;12;"Casa";"CASA RESIDENCIAL EM GURUPI";"140000,00";"06/10/2024";"18:32:48"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"96954";"ALIANÇA DO TOCANTINS";270002158751;3;19;"Outros bens imóveis";"IMOVEK RURAL COM 193,10 HECTARES ";"1300000,00";"06/10/2024";"18:32:48"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"96954";"ALIANÇA DO TOCANTINS";270002158751;4;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VEICULO VW GOL G4";"20000,00";"06/10/2024";"18:32:48"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"96954";"ALIANÇA DO TOCANTINS";270002158755;1;12;"Casa";"casa residencial em aliança";"200000,00";"06/10/2024";"18:32:48"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"96954";"ALIANÇA DO TOCANTINS";270002158755;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"vw saveiro 2019";"55000,00";"06/10/2024";"18:32:48"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"96954";"ALIANÇA DO TOCANTINS";270002158756;1;12;"Casa";"caas residencial na av marechal rondon Aliança -To";"300000,00";"06/10/2024";"18:32:48"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"96954";"ALIANÇA DO TOCANTINS";270002158756;2;19;"Outros bens imóveis";"imovel rural estancia de paula";"1700000,00";"06/10/2024";"18:32:48"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"96954";"ALIANÇA DO TOCANTINS";270002158756;3;19;"Outros bens imóveis";"lote urbano n. 38 qf. 14, em gurupi";"80000,00";"06/10/2024";"18:32:48"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"96954";"ALIANÇA DO TOCANTINS";270002158756;4;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"chevrolet s10 2014";"135000,00";"06/10/2024";"18:32:48"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"96954";"ALIANÇA DO TOCANTINS";270002158756;5;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"moto honda broz 160";"20000,00";"06/10/2024";"18:32:48"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"96954";"ALIANÇA DO TOCANTINS";270002158756;6;29;"Outros bens móveis";"trator massei 95x";"40000,00";"06/10/2024";"18:32:48"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"95478";"PIUM";270002380175;1;13;"Terreno";"DOIS LOTES";"80000,00";"06/10/2024";"18:39:25"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"95478";"PIUM";270002380175;2;13;"Terreno";"DOIS LOTES";"52000,00";"06/10/2024";"18:39:25"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"95478";"PIUM";270002380175;3;19;"Outros bens imóveis";"FAZENDA";"2408318,69";"06/10/2024";"18:39:25"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"95478";"PIUM";270002380175;4;17;"Benfeitorias";"FAZENDA";"49586,40";"06/10/2024";"18:39:25"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"95478";"PIUM";270002380175;5;31;"Ações (inclusive as provenientes de linha telefônica)";"CAPITAL SOCIAL";"19349,42";"06/10/2024";"18:39:25"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"95478";"PIUM";270002380175;6;32;"Quotas ou quinhões de capital";"CAPITAL SOCIAL";"1000,00";"06/10/2024";"18:39:25"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"93653";"FORMOSO DO ARAGUAIA";270002230501;1;63;"Dinheiro em espécie - moeda nacional";"Espécie";"3000,00";"13/03/2026";"15:12:04"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"93653";"FORMOSO DO ARAGUAIA";270002230502;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Moto";"5000,00";"13/03/2026";"15:12:04"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"93653";"FORMOSO DO ARAGUAIA";270002230502;2;63;"Dinheiro em espécie - moeda nacional";"Espécie";"3000,00";"13/03/2026";"15:12:04"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"93653";"FORMOSO DO ARAGUAIA";270002230503;1;63;"Dinheiro em espécie - moeda nacional";"Espécie";"3150,00";"13/03/2026";"15:12:04"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"93653";"FORMOSO DO ARAGUAIA";270002230504;1;63;"Dinheiro em espécie - moeda nacional";"Espécie";"3000,00";"13/03/2026";"15:12:04"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"93653";"FORMOSO DO ARAGUAIA";270002230505;1;63;"Dinheiro em espécie - moeda nacional";"Espécie";"2500,00";"13/03/2026";"15:12:04"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"93653";"FORMOSO DO ARAGUAIA";270002230506;1;63;"Dinheiro em espécie - moeda nacional";"Espécie";"3650,00";"13/03/2026";"15:12:04"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"93653";"FORMOSO DO ARAGUAIA";270002230507;1;63;"Dinheiro em espécie - moeda nacional";"Espécie";"2000,00";"13/03/2026";"15:12:04"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"93653";"FORMOSO DO ARAGUAIA";270002230508;1;63;"Dinheiro em espécie - moeda nacional";"Espécie";"2600,00";"13/03/2026";"15:12:04"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73199";"TABOCÃO";270002236528;1;13;"Terreno";"LOTEAMENTO COM AREA 58.757 M";"17007,35";"06/10/2024";"18:56:11"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73199";"TABOCÃO";270002236528;2;13;"Terreno";"LOTEAMENTO GARÁ COM AREA 58.767 EM GUARAI-TO";"16365,36";"06/10/2024";"18:56:11"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73199";"TABOCÃO";270002236528;3;13;"Terreno";"LOTEAMENTO GUARÁ COM AREA 58.767 EM GUARAI-TO";"16365,36";"06/10/2024";"18:56:11"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73199";"TABOCÃO";270002236528;4;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO VOYAGE ANO 2017";"35000,00";"06/10/2024";"18:56:11"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73512";"AGUIARNÓPOLIS";270002238458;1;63;"Dinheiro em espécie - moeda nacional";"DISPONÍVEL EM MÃOS";"3000,00";"27/11/2024";"18:00:43"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73512";"AGUIARNÓPOLIS";270002238459;1;12;"Casa";"IMÓVEL RESIDENCIAL";"60000,00";"27/11/2024";"18:00:43"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73512";"AGUIARNÓPOLIS";270002238459;2;12;"Casa";"IMÓVEL RESIDENCIAL";"60000,00";"27/11/2024";"18:00:43"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73512";"AGUIARNÓPOLIS";270002238459;3;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MONDA HONDA CG 160 2020";"14000,00";"27/11/2024";"18:00:43"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73512";"AGUIARNÓPOLIS";270002238459;4;13;"Terreno";"LUTE URBANO AGUIARNÓPOLIS";"14000,00";"27/11/2024";"18:00:43"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73512";"AGUIARNÓPOLIS";270002238459;5;13;"Terreno";"LOTE URBANO AGUIARNÓPOLIS";"20000,00";"27/11/2024";"18:00:43"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73512";"AGUIARNÓPOLIS";270002238460;1;63;"Dinheiro em espécie - moeda nacional";"DISPONÍVEL EM MÃOS";"3000,00";"27/11/2024";"18:00:43"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73512";"AGUIARNÓPOLIS";270002238461;1;63;"Dinheiro em espécie - moeda nacional";"DISPONÍVEL EM MÃOS";"3000,00";"27/11/2024";"18:00:43"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73512";"AGUIARNÓPOLIS";270002238462;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO POP 110 2022";"10000,00";"27/11/2024";"18:00:43"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73512";"AGUIARNÓPOLIS";270002238462;2;63;"Dinheiro em espécie - moeda nacional";"DISPONÍVEL EM MÃOS";"3000,00";"27/11/2024";"18:00:43"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73512";"AGUIARNÓPOLIS";270002238463;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VEICULO PASSAGEIRO CHEVROLET CLASSIC 2014/2015";"27000,00";"27/11/2024";"18:00:43"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73512";"AGUIARNÓPOLIS";270002238463;2;63;"Dinheiro em espécie - moeda nacional";"DISPONÍVEL EM MÃOS";"3000,00";"27/11/2024";"18:00:43"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73512";"AGUIARNÓPOLIS";270002238464;1;12;"Casa";"IMÓVEL RESIDENCIAL";"40000,00";"21/09/2024";"22:29:38"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73512";"AGUIARNÓPOLIS";270002238464;2;63;"Dinheiro em espécie - moeda nacional";"DISPONÍVEL EM MÃOS";"3000,00";"21/09/2024";"22:29:38"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73512";"AGUIARNÓPOLIS";270002238465;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO CG 150 2006";"5000,00";"27/11/2024";"18:00:43"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73512";"AGUIARNÓPOLIS";270002238465;2;12;"Casa";"IMÓVEL RESIDENCIAL AGUIARNÓPOLIS";"200000,00";"27/11/2024";"18:00:43"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73512";"AGUIARNÓPOLIS";270002238465;3;12;"Casa";"IMÓVEL RESIDENCIAL AGUIARNÓPOLIS";"50000,00";"27/11/2024";"18:00:43"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73512";"AGUIARNÓPOLIS";270002238465;4;14;"Terra nua";"CHÁCARA ";"50000,00";"27/11/2024";"18:00:43"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73512";"AGUIARNÓPOLIS";270002238465;5;63;"Dinheiro em espécie - moeda nacional";"DISPONÍVEL EM MÃOS";"3000,00";"27/11/2024";"18:00:43"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73512";"AGUIARNÓPOLIS";270002238466;1;12;"Casa";"IMOVEL RESIDENCIAL";"70000,00";"21/09/2024";"22:29:38"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73512";"AGUIARNÓPOLIS";270002238466;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO CG HODA 125 2009";"7000,00";"21/09/2024";"22:29:38"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73512";"AGUIARNÓPOLIS";270002238466;3;63;"Dinheiro em espécie - moeda nacional";"DISPONÍVEL EM MÃOS";"3000,00";"21/09/2024";"22:29:38"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73512";"AGUIARNÓPOLIS";270002238467;1;14;"Terra nua";"CHÁCARA RURAL";"160000,00";"27/11/2024";"18:00:43"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73512";"AGUIARNÓPOLIS";270002238467;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO FAN 150 2014";"8000,00";"27/11/2024";"18:00:43"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73512";"AGUIARNÓPOLIS";270002238467;3;63;"Dinheiro em espécie - moeda nacional";"DISPONÍVEL EM MÃOS";"3000,00";"27/11/2024";"18:00:43"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"92002";"BERNARDO SAYÃO";270002236156;3;19;"Outros bens imóveis";"UM IMOVEL NA AVENIDA ANTONIO PESCONE ";"130000,00";"06/10/2024";"19:21:18"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"92002";"BERNARDO SAYÃO";270002236157;1;14;"Terra nua";"UMA POSSE DE TERRA RURAL COM AREA DE 33 HA NO MUNICIPIO DE BERNARDO SAYAO TO, DENOMINADA CHACARA ATITUDE ";"250000,00";"06/10/2024";"19:21:18"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"92002";"BERNARDO SAYÃO";270002236157;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"UM VEICULO TOYOTA ETIOS ANO 2019 , COR PRATA PLACA: QWC 4157 ";"40000,00";"06/10/2024";"19:21:18"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"92002";"BERNARDO SAYÃO";270002236157;3;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"UM VEICULO CHEVROLET S1O ANO 2014, COR PRATA PLACA: PAZ7E54";"95000,00";"06/10/2024";"19:21:18"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"92002";"BERNARDO SAYÃO";270002236157;4;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"UMA MOTO HONDA/NXR 160BROS ESDD  PLACA QWD6J35";"13000,00";"06/10/2024";"19:21:18"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"92002";"BERNARDO SAYÃO";270002236158;1;14;"Terra nua";"FAZENDA PANTANAL MUNICIPIO DE ARAPOEMA ";"700000,00";"06/10/2024";"19:21:18"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"92002";"BERNARDO SAYÃO";270002236158;2;14;"Terra nua";"FAZENDA SÃO JOSE MUNICIPIO DE ARAPOEMA ";"1400000,00";"06/10/2024";"19:21:18"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"92002";"BERNARDO SAYÃO";270002236159;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"UMA MOTO FAN, COR PRETA, ANO 2011 PLACA MWH2013";"8000,00";"06/10/2024";"19:21:18"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"92002";"BERNARDO SAYÃO";270002236160;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"UMA CAMIONETE D20 ";"50000,00";"06/10/2024";"19:21:18"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"92002";"BERNARDO SAYÃO";270002236160;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"UMA MOTO FAB ANO 2014";"10000,00";"06/10/2024";"19:21:18"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"92002";"BERNARDO SAYÃO";270002236164;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"um veiculo santana 1999/2000";"10000,00";"06/10/2024";"19:21:18"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"92002";"BERNARDO SAYÃO";270002236164;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"um veiculo gol ano 1997/1998";"5000,00";"06/10/2024";"19:21:18"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73261";"PAU D'ARCO";270002236185;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"TOYOTA HILUX CD SRX4FD, RENAVAN: 1282345882, PLACA: RCM8E67 ANO: 2021 COR VERMELHA,";"280000,00";"06/10/2024";"19:48:17"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73261";"PAU D'ARCO";270002236186;1;12;"Casa";"LOCALIZADO NA AVENIDA SÃO DOMINGOS DE GUSMAO. ";"90000,00";"06/10/2024";"19:48:17"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73261";"PAU D'ARCO";270002236187;1;12;"Casa";"CASA NA RUA MESSIAS COSTA";"70000,00";"06/10/2024";"19:48:17"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73261";"PAU D'ARCO";270002236187;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO COBALT ANO 2015";"42000,00";"06/10/2024";"19:48:17"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73261";"PAU D'ARCO";270002236190;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"BIZ 125 ES COR VERMELHA ANO 2007 PLACAMWG5371";"8000,00";"06/10/2024";"19:48:17"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73261";"PAU D'ARCO";270002236190;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO VOYAGE 1.6 COMFORTL COR FANTASIA ANO2011 PLACA OBY8371";"30000,00";"06/10/2024";"19:48:17"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73261";"PAU D'ARCO";270002236190;3;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO BIZ C100 ES COR PRETA ANO2003 PLCA MWE3866";"6000,00";"06/10/2024";"19:48:17"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"73261";"PAU D'ARCO";270002236191;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"HONDA CG 150 TITAN ESD COR PRETA ANO 2012";"10500,00";"06/10/2024";"19:48:17"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"95257";"PEDRO AFONSO";270002163995;1;13;"Terreno";"COMPRA E POSSE DE UMA FAZENDA SEM BENFEITORIAS LOTE 52 DO LOTEAMENTO RIO PRETO COM UMA AREA 718.18,26HA SITUADO NO MUNICIPIO DE CENTENARIO";"742500,00";"06/10/2024";"20:23:28"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"95257";"PEDRO AFONSO";270002163995;2;13;"Terreno";"FAZENDA DENOMIDADA FIRMEZA, LOC. NO MUNICIPIO DE SANTA MARIA/TO COM UMA AREA DE APROX. 229 ALQUEIRES";"1603000,00";"06/10/2024";"20:23:28"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"95257";"PEDRO AFONSO";270002163995;3;13;"Terreno";"LOTE NA CIDADE DE PEDRO AFONSO/TO";"7980,00";"06/10/2024";"20:23:28"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"95257";"PEDRO AFONSO";270002163995;4;13;"Terreno";"FAZENDA COM O NOME DE TERRA GRANDE SITUADA NO LOTE NO 02 DO LOTEAMENTO BARRA DO SONINHO COM UMA AREA DE 287,77.10 HECTARES , NO MUNICIPIO DE BOM JESUS DO TOCANTINS/TO";"300000,00";"06/10/2024";"20:23:28"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"95257";"PEDRO AFONSO";270002163995;5;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VEICULO MARCA/MODELO MITSUBISHI L-200 CD TRITON SPORTGL4X4 D4B ANO 2019 COR PRATA";"129543,75";"06/10/2024";"20:23:28"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"95257";"PEDRO AFONSO";270002163995;6;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO MODELO HARLEY DAVIDSON/XL883 R";"22000,00";"06/10/2024";"20:23:28"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"95257";"PEDRO AFONSO";270002163995;7;99;"OUTROS BENS E DIREITOS";"SALDO EM 31/12/2023 RF REF DI PLUS AGIL";"237437,64";"06/10/2024";"20:23:28"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"95257";"PEDRO AFONSO";270002163995;8;49;"Outras aplicações e Investimentos";"FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DEINVESTIMENTO CAIXA PREFERENCIAL RENDA FIXAREFERENCIADO DI LONGO PRAZO";"2140840,05";"06/10/2024";"20:23:28"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"95257";"PEDRO AFONSO";270002163995;9;49;"Outras aplicações e Investimentos";"FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DEINVESTIMENTO CAIXA RUBI RENDA FIXA REFERENCIADO";"161093,85";"06/10/2024";"20:23:28"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"95257";"PEDRO AFONSO";270002163995;10;49;"Outras aplicações e Investimentos";"FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DEINVESTIMENTO CAIXA SIGMA RENDA FIXA REFERENCIADO DILONGO PRAZO";"145705,75";"06/10/2024";"20:23:28"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"95257";"PEDRO AFONSO";270002163995;11;99;"OUTROS BENS E DIREITOS";"SALDO EM 31/12/2023 CONTA REGISTRO DO FLUXO DE PAG(CONTA CORRENTE + CONTA SALARIO)";"132511,18";"06/10/2024";"20:23:28"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"95257";"PEDRO AFONSO";270002163995;12;29;"Outros bens móveis";"BOMBA D AGUA";"3600,00";"06/10/2024";"20:23:28"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"95257";"PEDRO AFONSO";270002163995;13;29;"Outros bens móveis";"COCHOS";"12000,00";"06/10/2024";"20:23:28"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"95257";"PEDRO AFONSO";270002163995;14;19;"Outros bens imóveis";"INSTALACAO PARA DISTRIBUICAO DE AGUAS NOS COCHOSPARA O GADO BEBER";"20400,00";"06/10/2024";"20:23:28"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"TO";"95257";"PEDRO AFONSO";270002163995;15;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"TRATOR JOHN DEERE";"115000,00";"06/10/2024";"20:23:28"
